sponsored_name,doi_prefix,mem_name,visibility,tot_backfile_dois,tot_current_dois,deposits_backfile_ref,deposits_current_ref
"American Chemical Society10.26434","10.26434","American Chemical Society (ACS) (ID 316)","open",1433394,119236,true,true
"American Chemical Society10.1021","10.1021","American Chemical Society (ACS) (ID 316)","closed",1433394,119236,true,true
"American Chemical Society (ACS)10.29200","10.29200","American Chemical Society (ACS) (ID 316)","open",1433394,119236,true,true
"American Association for Thoracic Surgery10.25013","10.25013","Elsevier BV (ID 78)","closed",15073575,1663799,true,true
"American Dental Association10.14219","10.14219","Elsevier BV (ID 78)","closed",15073575,1663799,true,true
"American Pharmacists Association10.1331","10.1331","Elsevier BV (ID 78)","closed",15073575,1663799,true,true
"Canadian Opthalmological Society10.3129","10.3129","Elsevier BV (ID 78)","limited",15073575,1663799,true,true
"Elsevier 10.1016","10.1016","Elsevier BV (ID 78)","closed",15073575,1663799,true,true
"Elsevier (Society for Range Management)10.2111","10.2111","Elsevier BV (ID 78)","closed",15073575,1663799,true,true
"Elsevier - Academic Press10.1006","10.1006","Elsevier BV (ID 78)","closed",15073575,1663799,true,true
"Elsevier - Ambulatory Pediatric Associates10.1367","10.1367","Elsevier BV (ID 78)","closed",15073575,1663799,true,true
"Elsevier - American Society for Experimental Neurotherapeutics10.1602","10.1602","Elsevier BV (ID 78)","closed",15073575,1663799,true,true
"Elsevier - American Society for Investigative Pathology10.2353","10.2353","Elsevier BV (ID 78)","closed",15073575,1663799,true,true
"Elsevier - Biophysical Society10.1529","10.1529","Elsevier BV (ID 78)","closed",15073575,1663799,true,true
"Elsevier - CIG Media Group LP10.3816","10.3816","Elsevier BV (ID 78)","closed",15073575,1663799,true,true
"Elsevier - Central Mining Institute10.7424","10.7424","Elsevier BV (ID 78)","closed",15073575,1663799,true,true
"Elsevier - Colegio Nacional de Opticos-Optometristas de Espana10.3921","10.3921","Elsevier BV (ID 78)","closed",15073575,1663799,true,true
"Elsevier - Ediciones Doyma10.1157","10.1157","Elsevier BV (ID 78)","closed",15073575,1663799,true,true
"Elsevier - Institution of Chemical Engineers10.1205","10.1205","Elsevier BV (ID 78)","closed",15073575,1663799,true,true
"Elsevier - International Federation of Automatic Control (IFAC)10.3182","10.3182","Elsevier BV (ID 78)","closed",15073575,1663799,true,true
"Elsevier - Mayo Clinic Proceedings10.4065","10.4065","Elsevier BV (ID 78)","closed",15073575,1663799,true,true
"Elsevier - Medicine Publishing Company10.1383","10.1383","Elsevier BV (ID 78)","closed",15073575,1663799,true,true
"Elsevier - Mosby10.1067","10.1067","Elsevier BV (ID 78)","closed",15073575,1663799,true,true
"Elsevier - Urban & Fischer Verlag10.1078","10.1078","Elsevier BV (ID 78)","closed",15073575,1663799,true,true
"Elsevier - WB Saunders10.1053","10.1053","Elsevier BV (ID 78)","closed",15073575,1663799,true,true
"Elsevier - Wilderness Medical Society10.1580","10.1580","Elsevier BV (ID 78)","closed",15073575,1663799,true,true
"Elsevier- Churchill Livingstone10.1054","10.1054","Elsevier BV (ID 78)","closed",15073575,1663799,true,true
"Elsevier- Hanley and Belfus Inc.10.1197","10.1197","Elsevier BV (ID 78)","closed",15073575,1663799,true,true
"Elsevier- Spektrum Akademischer Verlag10.1240","10.1240","Elsevier BV (ID 78)","closed",15073575,1663799,true,true
"Social Science Electronic Publishing10.2139","10.2139","Elsevier BV (ID 78)","closed",15073575,1663799,true,true
"Sociedad Argentina de Radiologia10.7811","10.7811","Elsevier BV (ID 78)","closed",15073575,1663799,true,true
"Woodhead Publishing10.1533","10.1533","Elsevier BV (ID 78)","closed",15073575,1663799,true,true
"Institute of Electrical and Electronics Engineers10.1109","10.1109","Institute of Electrical and Electronics Engineers (IEEE) (ID 263)","closed",2966961,465591,true,true
"Institute of Electrical and Electronics Engineers10.23919","10.23919","Institute of Electrical and Electronics Engineers (IEEE) (ID 263)","limited",2966961,465591,true,true
"Institute of Electrical and Electronics Engineers - Bell Labs10.15325","10.15325","Institute of Electrical and Electronics Engineers (IEEE) (ID 263)","limited",2966961,465591,true,true
"10.50505","10.50505","Test accounts (ID 7822)","closed",155325,90,true,true
"10.88888","10.88888","Test accounts (ID 7822)","closed",155325,90,true,true
"10.5555","10.5555","Test accounts (ID 7822)","closed",155325,90,true,true
"The MRE Foundation10.5950","10.5950","University of Chicago Press (ID 200)","closed",434757,11062,true,true
"The University of Chicago Press10.1086","10.1086","University of Chicago Press (ID 200)","closed",434757,11062,true,true
"University of Chicago Press10.7208","10.7208","University of Chicago Press (ID 200)","closed",434757,11062,true,true
